longitude,latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,frost,targetGBIF.counts,species_occ
-5.242708333,41.63402778,12.60958385,11.77916622,38.8440361,649.2999268,30.07333374,-0.293333322,30.36666679,9.267222404,19.16444397,20.95388985,5.062777996,466.3166809,102.7266693,5.766666889,72.85059357,208.956665,44.82666779,58.35333252,135.5066681,24.61333275,13,1
-4.743402778,41.63402778,12.50986099,11.5713892,38.35301971,649.1004639,29.87000084,-0.346666664,30.21666718,9.249444008,18.28388977,20.84666634,4.983333588,460.6566772,99.20666504,5.746666431,70.86999512,202.1066742,45.74666595,59.86000061,130.3600006,24.71999931,29,1
-4.244097222,41.63402778,12.22361088,10.8955555,36.70621872,652.4129639,29.43666649,-0.296666652,29.73333359,9.858888626,17.58555603,20.68166733,4.759999752,482.2566528,101.6166687,6.343333244,69.14111328,208.7366638,48.50333405,63.53666687,130.6266632,25.01000023,5,1
-3.744791667,41.63402778,11.99166679,11.19722176,37.30513,654.2064209,29.4533329,-0.616666675,30.06999969,9.729444504,17.24777794,20.47500038,4.53111124,531.6766968,107.0899963,7.363333225,66.31660461,226.3000031,54.76666641,72.80666351,140.7400055,26.88999939,4,1
-3.245486111,41.63402778,11.85944462,11.64000034,38.08242798,656.2731934,29.70666695,-0.913333356,30.61999893,9.815555573,16.58666611,20.39500046,4.412777901,540.8499756,104.4333344,7.923333168,63.83110428,227.4799957,57.48666763,78.3666687,140.0133362,28.82333374,9,1
-2.746180556,41.63402778,11.56930542,12.0913887,38.73469543,663.086731,29.82999992,-1.446666598,31.27666664,8.992777824,15.90111065,20.24111176,4.107777596,554.6933594,102.6633377,9.220000267,59.80872726,227.4633331,63.95333481,88.23999786,141.9766693,32.43333435,12,1
-2.246875,41.63402778,11.38319492,12.34916687,39.03208542,669.3810425,29.84000015,-1.856666684,31.69666672,8.944444656,14.56277752,20.13055611,3.838888884,556.5,98.74666595,11.30000019,55.60760117,219.4266663,70.03333282,96.98332977,136.043335,34.99333191,2,1
-1.747569444,41.63402778,12.14236069,12.24861145,38.73764038,675.9743042,30.34666634,-1.330000043,31.67666626,10.85555553,13.60000038,20.91888809,4.40611124,536.8066406,95.37999725,12.22000027,55.56977844,211.5366669,70.57333374,99.46666718,124.4033356,30.55666733,7,1
-1.248263889,41.63402778,14.72500038,11.66499996,37.53366089,687.5932007,32.22333145,1.086666703,31.13666534,13.75611115,15.94333363,23.53666687,6.679999828,451.2233276,84.09999847,9.809999466,58.37937927,182.4933319,58.09000015,79.8833313,100.1200027,16.5466671,17,1
-0.748958333,41.63402778,14.90541649,11.35194492,36.35142899,701.9518433,32.49333191,1.200000048,31.29333305,14.05500031,16.41888809,23.87666702,6.659999847,475.2433167,87.73332977,10.61666679,57.59769058,190.7766724,62.74333191,87.31666565,98.52999878,15.72999954,83,1
-0.249652778,41.63402778,15.60347176,11.1297226,35.92845917,701.371582,32.96333313,1.919999957,31.04333305,14.99166679,17.26388931,24.55722237,7.346666813,486.4899902,90.97666931,10.92666626,58.77941513,196.3033295,62.08333206,87.58666229,100.9300003,12.78999996,3,1
0.249652778,41.63402778,15.75013924,10.88972187,35.30952835,705.0020752,32.83666611,1.936666608,30.89999962,15.61222267,14.51222229,24.71444511,7.381111145,484.769989,90.81666565,10.38333321,59.44965363,194.0966644,61.15999985,89.48999786,95.44000244,12.78333282,174,1
0.748958333,41.63402778,15.22194481,10.52111149,34.9791069,690.34729,31.69666672,1.553333282,30.14333344,16.1455555,14.68111134,23.98999977,7.014444351,509.293335,95.97333527,10.68666649,60.1947403,201.4233398,62.14666748,101.6800003,95.17333221,14.07333374,311,1
1.248263889,41.63402778,14.01749992,9.682222366,34.93636703,636.4554443,29.13333321,1.330000043,27.80333328,15.30611134,11.36111069,22.20111084,6.671666622,598.9466553,110.6466675,12.98666668,58.8846817,233.8166656,74.09333038,132.5033264,105.1366653,14.78333378,106,1
1.747569444,41.63402778,13.79500008,9.007778168,34.53459549,601.0673218,27.89666748,1.703333378,26.19333267,14.67611122,11.22888851,21.58833313,7.022778034,647.3666382,118.5733337,14.23666668,58.87281799,251.5333405,78.91999817,150.7033386,115.9233322,12.75333309,377,1
2.246875,41.63402778,14.2901392,8.793055534,34.51211548,585.3499146,28.01000023,2.426666737,25.58333397,14.95722198,13.23944473,21.92000008,7.777777672,679.3766479,125.046669,15.46333313,59.27221298,265.2966614,84.97333527,155.8466644,134.0066681,9.850000381,539,1
9.237152778,41.63402778,14.28833294,7.603888988,32.20342255,555.5176392,27.13666725,3.410000086,23.7266674,12.06222248,20.37111092,21.42055511,8.034999847,651.333313,132.8500061,7.090000153,70.85896301,291.4299927,54.68333435,68.77333069,183.0833282,5.083333492,427,1
12.73229167,41.63402778,15.9113884,10.80944443,37.19836426,631.9408569,31.91333389,2.779999971,29.13333321,12.09055519,22.99222183,23.96611023,8.598333359,778.0933228,144.6433258,12.32999992,62.37420273,335.3833313,77.86000061,90.22999573,237.9766693,7.059999943,51,1
13.23159722,41.63402778,15.35750008,11.06833363,37.07040405,649.0450439,31.7733326,1.843333364,29.93000031,11.6922226,22.71777725,23.55722237,7.666110992,793.3499756,143.8366699,14.51000023,60.47331238,329.3366699,86.25666809,97.75333405,239.4299927,10.14666653,5,1
13.73090278,41.63402778,15.34638882,10.24166679,35.3540535,649.3275146,31.14333344,2.096666574,29.0466671,11.89666653,21.91777802,23.54999924,7.652777672,746.0133057,134.2966614,15.74666691,58.96743393,305.4933472,87.23332977,99.50333405,217.6199951,8.906666756,10,1
14.23020833,41.63402778,11.94069481,7.473055363,27.46340752,685.527832,26.85000038,-0.449999988,27.29999924,9.484999657,15.50166702,20.68833351,4.011666775,740.039978,126.4400024,17.32666588,53.83800125,285.7200012,101.1999969,117.8733368,188.6833344,17.05666733,16,1
14.72951389,41.63402778,14.09902763,7.828055382,28.89384842,675.3822021,28.77666664,1.593333364,27.18333244,11.13500023,17.28666687,22.70000076,6.258333206,663.1900024,117.0733337,14.50333309,55.73939514,264.4700012,88.03333282,103.0100021,178.5733337,9.289999962,11,1
