longitude,latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,frost,targetGBIF.counts,species_occ
60.665625,64.07152778,-3.526666641,9.144444466,19.04323578,1327.089722,20.58666611,-27.5933342,48.18000031,11.25444412,-15.81944466,12.77777767,-19.67333412,448.1766663,82.96666718,12.5666666,57.65625381,198.2733307,50.36333466,184.9966736,59.61333466,100.4400024,1,1
61.16493056,64.07152778,-3.62833333,9.094444275,18.88311768,1337.204224,20.52000046,-27.7966671,48.31666565,11.31555557,-16.36555481,12.79888916,-19.89999962,444.9766541,82.09999847,12.35666656,57.59656906,197.656662,49.66666794,185.7633362,57.95000076,100.4666672,1,1
65.159375,64.07152778,-4.304722309,8.031666756,16.7094593,1404.303101,19.78333282,-28.42666626,48.20999908,11.18944454,-17.25777817,13,-21.25333405,425.980011,84.98000336,9.883333206,63.35035706,199.1333313,43.70666504,187.9266663,53.84666824,98.87999725,1,1
91.62256944,64.07152778,-8.63041687,10.16972256,17.46382713,1694.292114,21.03333282,-37.42000198,58.45333481,9.07333374,-23.30999947,12.26333332,-29.12055588,506.8866577,87.99666595,14.77666664,51.96147537,208.5800018,58.99333191,194.3266602,70.08000183,109.8600006,1,1
97.11493056,64.07152778,-10.25916672,11.05222225,17.51207542,1864.499512,21.56999969,-41.71666718,63.28666687,12.23499966,-28.38833237,12.23499966,-33.36277771,456.6499939,70.94999695,14.73666668,46.77118301,186.1799927,54.50999832,186.1799927,66.92666626,115.6633301,1,1
128.5711806,64.07152778,-16.15944481,11.03666687,15.25884724,2310.575195,19.96666718,-52.43333435,72.40000153,9.980555534,-41.41055679,10.8577776,-45.47999954,296.2833252,75.65000153,5.396666527,85.86406708,166.0966644,21.07666588,162.75,23.57999992,129.456665,1,1
9.736458333,63.57291667,4.936110973,5.107777596,23.86658669,550.2307739,16.55333328,-5.166666508,21.71999931,5.187222004,5.161110878,11.9422226,-1.062222242,1091.606689,189.2833252,30.33333397,52.70745087,407.1400146,152.406662,255.0899963,295.4400024,55.75666809,1,1
22.71840278,63.57291667,2.807361126,6.866944313,20.86686516,863.8685913,19.69000053,-13.48999977,33.18000031,8.748332977,-3.950000048,13.60722256,-7.333889008,450.2799988,72.40000153,12.47666645,48.79954529,179.0099945,57.72000122,148.4900055,77.85333252,70.11333466,4,1
28.21076389,63.57291667,1.894999981,8.188333511,21.48308754,1000.94043,21.15333366,-17.21666718,38.36999893,11.98888874,-6.559444427,14.26888847,-10.1077776,491.519989,88.51000214,13.67333317,54.06884384,204.4533386,61.27999878,189.0233307,75.78333282,79.94999695,1,1
28.71006944,63.57291667,1.686666727,8.512777328,21.98967171,1005.211609,21.17666626,-17.78666687,38.96333313,11.81777763,-6.646666527,14.10722256,-10.40722179,504.0033264,88.51999664,14.43999958,52.12369156,204.9866638,65.1966629,189.9733276,80.62000275,81.53333282,3,1
