"x","y","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","frost","counts.cru","species_occ"
125.076041667199,-24.1826388886667,24.2412509918213,15.0708332061768,47.1793174743652,605.835266113281,39.4466667175293,7.48666667938232,31.9600009918213,30.3105564117432,19.453332901001,30.8444442749023,16.21555519104,244.690002441406,63.5466651916504,2.09999990463257,92.1861953735352,142.679992675781,9.19333362579346,126.763336181641,16.6866664886475,1.68999993801117,NA,0
125.575347222758,-24.1826388886667,24.1216659545898,14.9816665649414,46.9947700500488,606.581909179688,39.3166656494141,7.42000007629395,31.8966674804688,30.0316677093506,19.0455551147461,30.71555519104,16.0750007629395,249,71.4766693115234,1.74333333969116,98.2936859130859,146.360000610352,9.33666706085205,126.796669006348,18.6900005340576,1.8400000333786,NA,0
126.074652778317,-24.1826388886667,24.1345825195312,14.8024997711182,46.7470054626465,608.657897949219,39.2033348083496,7.51999998092651,31.6833324432373,29.5872230529785,19.1988887786865,30.7466659545898,16.0722217559814,250.639999389648,79.1399993896484,1.04333329200745,109.229995727539,150.486663818359,8.0600004196167,123.51000213623,18.8166675567627,1.69333326816559,NA,0
126.573958333876,-24.1826388886667,23.9286117553711,14.5799999237061,46.380931854248,612.365905761719,38.9500007629395,7.49333333969116,31.4566669464111,28.9333324432373,19.7316665649414,30.6066665649414,15.8122224807739,260.399993896484,84.9700012207031,0.773333311080933,115.478858947754,156.259994506836,8.54333305358887,124.00666809082,22.216667175293,1.74000000953674,NA,0
127.073263889435,-24.1826388886667,23.7683334350586,14.35777759552,45.7804565429688,614.892883300781,38.7700004577637,7.38333320617676,31.3866672515869,28.7655563354492,19.4588890075684,30.5216674804688,15.6561107635498,267.390014648438,88.9066696166992,0.379999995231628,120.053939819336,160.74333190918,8.25666618347168,124.483329772949,21.5866661071777,1.89666664600372,NA,0
127.572569444995,-24.1826388886667,23.7287502288818,14.2230558395386,45.5254898071289,618.870178222656,38.6466674804688,7.37666654586792,31.2700004577637,28.522777557373,19.1872215270996,30.5405559539795,15.5688886642456,274.486663818359,91.3766632080078,0.226666674017906,121.68155670166,163.236663818359,8.59333324432373,124.370002746582,24.0166664123535,1.92999994754791,NA,0
128.071875000554,-24.1826388886667,23.4627780914307,14.1444444656372,45.1995849609375,622.49951171875,38.3933334350586,7.07000017166138,31.3233337402344,28.2994441986084,19.4883327484131,30.3383331298828,15.260555267334,287.690002441406,92.7399978637695,0.25,119.38232421875,166.136672973633,10.2766666412354,124.646667480469,27.7800006866455,2.38333344459534,NA,0
128.571180556113,-24.1826388886667,23.2170829772949,14.2941665649414,45.2439613342285,627.984924316406,38.2466659545898,6.62333345413208,31.6233329772949,28.2661113739014,18.9899997711182,30.1805553436279,14.9594440460205,291.893341064453,91.0299987792969,0.41333332657814,116.052017211914,164.726669311523,11.1199998855591,123.716667175293,28.8833332061768,3.21000003814697,NA,0
129.070486111672,-24.1826388886667,23.1518058776855,14.6313886642456,45.7162208557129,629.793090820312,38.3199996948242,6.28666687011719,32.033332824707,28.2722225189209,18.772777557373,30.1705551147461,14.8961114883423,289.616668701172,88.6566696166992,0.699999988079071,112.827362060547,163.520004272461,11.6400003433228,128.236663818359,25.9799995422363,3.82999992370605,NA,0
129.569791667231,-24.1826388886667,22.9488887786865,14.9538888931274,46.1425437927246,631.532470703125,38.2999992370605,5.86333322525024,32.4366645812988,28.3305549621582,17.716667175293,30.0244445800781,14.7049999237061,288.820007324219,84.5466690063477,1.26999998092651,105.311714172363,158.626663208008,12.4233331680298,128.336669921875,24.5233325958252,4.82666683197021,NA,0
130.06909722279,-24.1826388886667,22.6919441223145,15.26722240448,46.4688034057617,634.053344726562,38.2700004577637,5.38666677474976,32.8833312988281,28.375,17.1255550384521,29.8411121368408,14.4472227096558,284.963348388672,76.1766662597656,2.29333329200745,92.6212844848633,149.580001831055,15.3599996566772,127.019996643066,24.5799999237061,5.97333335876465,NA,0
130.568402778349,-24.1826388886667,22.0373611450195,15.460277557373,46.6176605224609,638.058715820312,37.776668548584,4.58666658401489,33.189998626709,27.8777770996094,16.8438892364502,29.2472229003906,13.7600002288818,284.906677246094,69.1766662597656,3.94333338737488,82.0076522827148,139.366668701172,21.5699996948242,122.5,31.0799999237061,8.4399995803833,NA,0
131.067708333909,-24.1826388886667,21.6180553436279,15.6722221374512,46.5976066589355,642.013854980469,37.5699996948242,3.91000008583069,33.6599998474121,26.8400001525879,16.6366672515869,28.8994445800781,13.3122224807739,289.203338623047,75.0400009155273,3.87999987602234,86.5197525024414,142.669998168945,22.6466674804688,123.150001525879,33.6599998474121,10.453332901001,NA,0
131.567013889468,-24.1826388886667,20.9869441986084,15.8066663742065,46.3863334655762,645.348571777344,37.1800003051758,3.07666659355164,34.1033325195312,25.6061115264893,17.6194438934326,28.3333339691162,12.6516666412354,291.486663818359,82.6699981689453,2.98333334922791,97.4928894042969,149.139999389648,19.9733333587646,123.486663818359,36.4700012207031,13.3999996185303,2,1
132.066319445027,-24.1826388886667,21.398889541626,16.1183338165283,46.5922470092773,646.009338378906,37.723331451416,3.09999990463257,34.6233329772949,25.8077774047852,17.5255546569824,28.771110534668,13.0711107254028,274.829986572266,89.3333358764648,1.3400000333786,113.961975097656,154.216659545898,13.8400001525879,126.013336181641,29.3933334350586,12.710000038147,NA,0
132.565625000586,-24.1826388886667,21.432222366333,15.9627780914307,46.4965705871582,646.029052734375,37.6100006103516,3.25,34.3600006103516,25.8211116790771,17.1283340454102,28.8083324432373,13.1088886260986,266.339996337891,89.0633316040039,0.810000002384186,119.371910095215,153.550003051758,11.8166666030884,123.763336181641,26.9466667175293,12.296667098999,NA,0
133.064930556145,-24.1826388886667,21.255277633667,15.5827779769897,46.2636451721191,644.602478027344,37.189998626709,3.47666668891907,33.7133331298828,25.5627784729004,17.3772220611572,28.6016674041748,12.9250001907349,261.693328857422,85.2399978637695,0.716666698455811,118.337783813477,149.303329467773,11.8733329772949,119.336669921875,28.6399993896484,11.7066669464111,NA,0
